cell_line	drugcombo	mean.bliss.estimate	p.value	conf.int.low	conf.int.high	p.value.bonferroni
A498	AK BI	-0.11548868930888	1.27989911683579e-06	-0.156348194282679	-0.0746291843350811	0.00175090199183136
SW-620	AK BI	-0.354281780330611	1.46586810732362e-08	-0.45492353039366	-0.253640030267563	2.00530757081871e-05
AGS	AK BI	-0.413845419787907	2.55073063696787e-09	-0.51392059489343	-0.313770244682384	3.48939951137204e-06
DU-145	AK BI	-0.196332433836976	1.80251530082901e-06	-0.267121022721868	-0.125543844952085	0.00246584093153409
UACC-62	AK BI	-0.505530638077395	5.42915425040127e-15	-0.588705368351188	-0.422355907803601	7.42708301454893e-12
COLO 205	AK BI	-0.43720990402004	8.97732301404961e-15	-0.510316846066429	-0.364102961973651	1.22809778832199e-11
DU-145	AK PI	-0.0918243987656878	1.02028421470408e-07	-0.120361181780328	-0.0632876157510482	0.000139574880571518
A498	BI PI	-0.139391237032365	1.48846476148865e-05	-0.196404765282364	-0.0823777087823661	0.0203621979371647
SW-620	BI PI	-0.132501893636491	1.47549387843542e-08	-0.170153032224858	-0.0948507550481243	2.01847562569965e-05
AGS	BI PI	-0.0940144454079787	7.76120669393268e-07	-0.124715585122591	-0.0633133056933668	0.00106173307572999
DU-145	BI PI	-0.113008505399738	7.13014465118682e-11	-0.138823434972925	-0.0871935758265511	9.75403788282357e-08
UACC-62	BI PI	-0.185789207480549	4.18199556134887e-06	-0.25608364924135	-0.115494765719748	0.00572096992792526
SF-295	BI PI	-0.15953968100821	2.13910504944198e-07	-0.210953197867018	-0.108126164149402	0.000292629570763662
COLO 205	BI PI	-0.108023810625521	2.15620747761813e-11	-0.131620245955939	-0.0844273752951024	2.9496918293816e-08
SW-620	PI JN	-0.0891782310150189	6.16790736172821e-07	-0.119517830476989	-0.0588386315530491	0.000843769727084419
UACC-62	PI JN	-0.139746792571641	6.52778603642297e-06	-0.194043931918831	-0.0854496532244511	0.00893001129782662
SF-295	PI JN	-0.140214588806747	2.54922382583542e-06	-0.191767496612618	-0.0886616810008752	0.00348733819374286
UACC-62	5Z D1	-0.0942872341245751	2.5438090031576e-05	-0.134230636555006	-0.0543438316941437	0.0347993071631959
COLO 205	5Z D1	-0.11123797007152	1.94443137333142e-06	-0.151515736565076	-0.0709602035779632	0.00265998211871739
SW-620	PI D1	-0.136450817972409	1.77088183275837e-10	-0.168728233788647	-0.10417340215617	2.42256634721345e-07
AGS	PI D1	-0.181332045462601	3.77904394911529e-08	-0.231476002788492	-0.131188088136711	5.16973212238971e-05
DU-145	PI D1	-0.149461360324284	7.9031132922876e-10	-0.186975071904045	-0.111947648744524	1.08114589838494e-06
UACC-62	PI D1	-0.151187102636037	8.36114760418232e-06	-0.210823699366104	-0.0915505059059699	0.0114380499225214
SF-295	PI D1	-0.129970668182384	2.95873541077154e-06	-0.17816644427524	-0.0817748920895276	0.00404755004193547
DU-145	JN D1	-0.0881939627485108	8.49186533249829e-06	-0.123015827893668	-0.053372097603354	0.0116168717748577
UACC-62	JN D1	-0.105561323484534	6.47087983959621e-06	-0.14655433298725	-0.0645683139818178	0.00885216362056761
COLO 205	AK 60	-0.135805761104927	1.14580136511924e-05	-0.190436461904934	-0.0811750603049207	0.0156745626748311
DU-145	5Z SB	-0.0802877491415929	3.78843139268754e-08	-0.102492671215378	-0.0580828270678074	5.18257414519656e-05
UACC-62	5Z SB	-0.0819037918058733	5.35942564981639e-10	-0.102142290808688	-0.0616652928030589	7.33169428894882e-07
DU-145	AK D4	-0.0931204358258745	1.12575444376421e-05	-0.130538489542855	-0.0557023821088935	0.0154003207906944
A498	5Z SF	-0.0811931355196467	1.89681418129223e-05	-0.114928255100416	-0.0474580159388776	0.0259484180000777
UACC-62	5Z SF	-0.0810140607755353	3.440419157531e-06	-0.111318686480318	-0.0507094350707523	0.00470649340750241
A498	AK SF	-0.296848016659238	1.2460173383227e-05	-0.416895396243785	-0.17680063707469	0.0170455171882545
UACC-62	AK SF	-0.354543209102728	1.09774070074943e-05	-0.496781902296124	-0.212304515909333	0.0150170927862522
UACC-62	BI SF	-0.324733415658661	2.8311217919237e-05	-0.463294605392935	-0.186172225924387	0.0387297461135162
A498	PD SF	-0.120382241247755	1.96896397064553e-06	-0.164001686292146	-0.0767627962033638	0.00269354271184308
DU-145	D1 SF	-0.0814130199953519	1.23447450907183e-05	-0.114317604771613	-0.0485084352190912	0.0168876112841027
UACC-62	D1 SF	-0.255418298479702	1.45893645703571e-05	-0.359754800869274	-0.151081796090131	0.0199582507322486
A498	PD G2	-0.201819765592224	2.31781765079451e-12	-0.242499391154124	-0.161140140030325	3.17077454628689e-09
UACC-62	PD G2	-0.104672010605158	3.27376768345288e-08	-0.135507321141161	-0.0738367000691558	4.47851419096354e-05
COLO 205	PD G2	-0.0927146171576552	1.1102438886865e-09	-0.116309200660994	-0.0691200336543166	1.51881363972314e-06
SW-620	PI G2	-0.0864673746181498	6.12822270697856e-07	-0.115874724541092	-0.0570600246952078	0.000838340866314667
UACC-62	PI G2	-0.135340778801079	1.04924434911498e-05	-0.189484417257943	-0.0811971403442155	0.0143536626958929
SF-295	PI G2	-0.127201275146204	1.10959784392184e-06	-0.17185580789265	-0.0825467423997576	0.00151792985048508
UACC-62	SF G2	-0.235373288806361	2.0679801717033e-05	-0.333724899349835	-0.137021678262887	0.0282899687489012
UACC-62	BI P5	-0.0832994205127163	3.23170231036314e-05	-0.119163163471602	-0.0474356775538305	0.0442096876057678
COLO 205	BI P5	-0.119702029966233	1.62423522173044e-08	-0.153862185755816	-0.0855418741766497	2.22195378332724e-05
A498	PD P5	-0.128592636703905	6.37193716810018e-07	-0.172416522091975	-0.0847687513158344	0.000871681004596105
DU-145	PI P5	-0.0894977004441281	1.51106464069103e-06	-0.12145205069426	-0.0575433501939956	0.00206713642846533
SF-295	PI P5	-0.108160259025931	4.14662061005394e-06	-0.149062907027766	-0.0672576110240966	0.00567257699455379
DU-145	JN P5	-0.0933795071477581	2.02315838336429e-05	-0.132342297581354	-0.0544167167141621	0.0276768066844235
UACC-62	JN P5	-0.0956953012123838	1.03422246626159e-05	-0.133944093300644	-0.0574465091241235	0.0141481633384585
DU-145	G2 P5	-0.119795914813945	2.28309469266764e-07	-0.158527359372461	-0.0810644702554288	0.000312327353956934
UACC-62	G2 P5	-0.139042799804596	3.98003033892271e-07	-0.185281843831266	-0.0928037557779261	0.000544468150364627
COLO 205	G2 P5	-0.090395613765337	3.26928163349726e-06	-0.124109710555963	-0.0566815169747108	0.00447237727462425
